id_item_pedido,id_pedido,id_produto,quantidade,preco_unitario,desconto
1,1001,107,1,310.00,25.00
2,1001,101,3,4500.00,10.00
3,1002,103,2,350.00,0
4,1002,105,3,980.00,50.00
5,1002,104,1,1299.90,10.00
6,1003,109,2,760.00,0
7,1004,106,2,220.00,0
8,1004,102,1,89.90,10.00
9,1004,104,1,1299.90,0
10,1005,102,1,89.90,25.00
11,1005,102,2,89.90,0
12,1005,103,3,R$ 89.90,25.00
13,1006,103,1,350.00,50.00
14,1006,107,1,310.00,50.00
15,1006,104,3,1299.90,10.00
16,1007,106,2,220.00,50.00
17,1007,108,1,,0
18,1008,102,1,89.90,0
19,1009,999,1,199.90,50.00
20,1009,104,1,1299.90,0
21,1009,101,1,4500.00,0
22,1010,106,1,220.00,50.00
23,1011,105,3,980.00,25.00
24,1012,109,1,760.00,50.00
25,1013,108,1,,25.00
26,1013,107,1,310.00,0
27,1013,102,3,89.90,25.00
28,1014,107,2,310.00,25.00
29,1014,101,3,4500.00,0
30,1015,107,3,310.00,10.00
31,1016,104,1,1299.90,0
32,1017,108,1,,25.00
33,1017,103,0,350.00,25.00
34,1017,104,1,1299.90,25.00
35,1018,102,1,89.90,50.00
36,1018,101,1,4500.00,0
37,1018,103,2,350.00,25.00
38,1019,104,2,1299.90,0
39,1019,103,2,350.00,0
40,1020,105,2,980.00,-5.00
41,1020,107,3,310.00,50.00
42,1021,103,1,350.00,10.00
43,1021,104,1,1299.90,50.00
44,1022,101,3,4500.00,10.00
45,1022,101,1,4500.00,50.00
46,1022,108,2,,50.00
47,1023,101,2,4500.00,0
48,1024,102,2,R$ 89.90,0
49,1025,107,1,310.00,50.00
50,1026,101,2,4500.00,0
51,1027,109,1,760.00,10.00
52,1027,104,3,1299.90,10.00
53,1028,105,2,980.00,0
54,1029,108,1,,0
55,1029,101,2,4500.00,50.00
56,1030,102,1,89.90,50.00
57,1030,999,2,199.90,10.00
58,1030,103,1,350.00,0
59,1031,106,1,220.00,0
60,1032,109,3,760.00,10.00
61,1032,109,1,760.00,50.00
62,1033,102,1,89.90,10.00
63,1033,102,1,89.90,50.00
64,1034,105,1,980.00,50.00
65,1035,106,1,220.00,10.00
66,1036,108,1,,5000.00
67,1036,102,3,89.90,25.00
68,1036,105,1,980.00,0
69,1037,103,3,350.00,10.00
70,1037,103,3,350.00,25.00
71,1038,107,2,310.00,0
72,1038,102,1,89.90,0
73,1038,109,1,760.00,10.00
74,1039,109,-1,760.00,25.00
75,1039,103,1,350.00,10.00
76,1039,106,1,220.00,10.00
77,1040,104,3,1299.90,0
78,1041,109,2,760.00,50.00
79,1041,103,1,350.00,0
80,1042,107,1,,0
81,1043,107,3,310.00,0
82,1043,105,1,980.00,0
83,1044,101,2,4500.00,0
84,1044,104,2,1299.90,10.00
85,1045,104,1,1299.90,0
86,1045,104,2,1299.90,10.00
87,1046,102,1,89.90,10.00
88,1046,109,2,760.00,50.00
89,1047,101,1,4500.00,10.00
90,1047,103,2,350.00,10.00
91,1048,999,2,199.90,25.00
92,1049,106,2,220.00,50.00
93,1049,109,1,760.00,25.00
94,1050,104,1,1299.90,0
95,1050,107,1,310.00,50.00
96,1050,109,3,760.00,0
97,1051,107,1,310.00,10.00
98,1051,106,3,220.00,0
99,1052,109,1,760.00,25.00
100,1052,106,2,220.00,10.00
101,1053,103,1,350.00,25.00
102,1053,107,3,310.00,0
103,1053,105,2,980.00,50.00
104,1054,105,1,980.00,0
105,1055,106,2,220.00,25.00
106,1055,108,3,,0
107,9999,101,1,4500.00,0
